0.05 , 0.5 , 0.2 , 1 , 15.7, 15.7
0.05 , 0.5 , 1.0 , 1 , 16.2, 15.8 
0.05 , 0.5 , 5.0 , 1 , 15.9, 15.6 
0.1 , 0.5 , 0.2 , 1 , 16.0, 15.7 
0.1 , 0.5 , 1.0 , 1 , 15.2, 15.0 
0.1 , 0.5 , 5.0 , 1 , 21.4, 20.9 
0.15 , 0.5 , 0.2 , 1 , 14.0, 13.0 
0.15 , 0.5 , 1.0 , 1 , 19.6, 18.7 
0.15 , 0.5 , 5.0 , 1 , 12.6, 12.1 
0.05 , 0.25 , 0.2 , 1 , 17.0, 16.3 
0.05 , 0.25 , 1.0 , 1 , 15.1, 14.5 
0.05 , 0.25 , 5.0 , 1 , 19.2, 18.4 
0.1 , 0.25 , 0.2 , 1 , 20.6, 20.0 
0.1 , 0.25 , 1.0 , 1 , 13.9, 13.3 
0.1 , 0.25 , 5.0 , 1 , 18.4, 18.0 
0.15 , 0.25 , 0.2 , 1 , 14.8, 14.4 
0.15 , 0.25 , 1.0 , 1 , 18.9, 18.4 
0.15 , 0.25 , 5.0 , 1 , 18.2, 17.1 
0.05 , 0.75 , 0.2 , 1 , 31.0, 30.2 
0.05 , 0.75 , 1.0 , 1 , 15.9, 14.9 
0.05 , 0.75 , 5.0 , 1 , 22.2, 21.5 
0.1 , 0.75 , 0.2 , 1 , 17.7, 17.2 
0.1 , 0.75 , 1.0 , 1 , 18.7, 18.2 
0.1 , 0.75 , 5.0 , 1 , 14.1, 13.3 
0.15 , 0.75 , 0.2 , 1 , 26.7, 25.8 
0.15 , 0.75 , 1.0 , 1 , 21.5, 20.5 
0.15 , 0.75 , 5.0 , 1 , 23.5, 21.6 
0.05 , 0.5 , 0.2 , 2 , 15.1, 14.7 
0.05 , 0.5 , 1.0 , 2 , 19.0, 18.4 
0.05 , 0.5 , 5.0 , 2 , 19.3, 18.6 
0.1 , 0.5 , 0.2 , 2 , 12.2, 12.2 
